Item ID,Item Name,Category,Price (INR),Type,Spice Level,No. of Users Ordered,No. of Times Ordered,Most Co-Ordered With
19,Crispy Chilli Corn,Bar Nibbles,289,Veg,-,1612,1684,Periperi French Fries
8,Periperi French Fries,Bar Nibbles,249,Veg,-,1525,1592,Crispy Chilli Corn
12,Loaded Nachos,Small Plates,319,Veg,-,1518,1575,Periperi French Fries
770,Aamrit,Mocktail,295,Veg,-,1472,1528,Crispy Chilli Corn
3,Peanut Masala,Bar Nibbles,219,Veg,-,1377,1456,Periperi French Fries
16,Chicken Popcorn,Bar Nibbles,329,Non-Veg,-,1181,1235,Periperi French Fries
15,Chilli Egg,Bar Nibbles,269,Non-Veg,-,1030,1075,Crispy Chilli Corn
527,Golden Kick,,0,-,-,1020,1046,Aamrit
132,Cheese Poppers,Bar Nibbles,289,Veg,-,1018,1044,Aamrit
34,Spicy Chicken Skewer,Bar Nibbles,399,Non-Veg,-,909,943,Crispy Chilli Corn
276,Fresh Lime Soda,Soft Beverages,150,-,-,909,936,Aamrit
23,Chilli Paneer,Small Plates,349,Veg,-,875,903,Crispy Chilli Corn
7,Crispy Onion Rings,Bar Nibbles,249,Veg,-,855,880,Peanut Masala
524,Zero Mojito,Mocktail,229,-,-,809,839,Aamrit
460,Happy Weizen (500Ml),Craft Beer,289,-,-,779,832,Peanut Masala
456,Wit Maga (500Ml),Craft Beer,299,-,-,772,815,Crispy Chilli Corn
10,French Fries Salted,Bar Nibbles,239,Veg,-,773,810,Crispy Chilli Corn
291,Chilli Chicken,Small Plates,349,Non-Veg,-,781,807,Crispy Chilli Corn
18,Shrimp Popcorn,Bar Nibbles,419,Non-Veg,-,775,805,Aamrit
1053,Avocado Roll,Sushi,0,Veg,-,738,756,Loaded Nachos
283,Tres Leches,Dessert,299,Non-Veg,-,678,688,Aamrit
458,Wit Maga Sampler (90Ml),Craft Beer,60,-,-,635,654,Happy Weizen Sampler (90Ml)
705,Malgudi Ale Sampler ( 90Ml ),,0,-,-,624,650,Wit Maga Sampler (90Ml)
525,Zero Pina Colada,,0,-,-,627,638,Aamrit
13,Masala Papad,Bar Nibbles,149,Veg,-,593,624,Crispy Chilli Corn
108,Garlic Bread With Cheese,Sides & Add Ons,169,Veg,-,597,619,Loaded Nachos
33,Mangalorean Chicken Ghee Roast,Small Plates,419,Non-Veg,-,597,614,Aamrit
85,Seasonal Vegetable Pizza,Pizza,449,Veg,-,591,601,Loaded Nachos
29,Crispy Lotus Stem,Small Plates,359,Veg,-,583,594,Aamrit
4,Indo-Chinese Bhel,Bar Nibbles,239,Veg,-,554,570,Peanut Masala
466,El Chamraj Sampler (90Ml),Craft Beer,60,-,-,554,567,Wit Maga Sampler (90Ml)
474,Nandi Nectar Sampler (90Ml),Craft Beer,60,-,-,549,565,El Chamraj Sampler (90Ml)
5,Stuffed Mushrooms,From The Clay Oven,309,Veg,-,544,561,Loaded Nachos
426,Chilli Coriander Fish,Small Plates,339,Non-Veg,-,532,556,Aamrit
427,Can Coke,Soft Beverages,119,-,-,522,547,Periperi French Fries
133,Vegetable Spring Roll,Small Plates,219,Veg,-,526,542,Aamrit
703,Malgudi Ale ( 500Ml ),,0,-,-,503,542,Periperi French Fries
462,Happy Weizen Sampler (90Ml),Craft Beer,60,-,-,523,541,Wit Maga Sampler (90Ml)
478,Ale Is Well Sampler (90Ml),Craft Beer,60,-,-,512,530,Wit Maga Sampler (90Ml)
726,Fried Dhai Kebab,Small Plates,269,Veg,-,514,524,Aamrit
284,Brownie With Vanilla Ice Cream,Dessert,299,Non-Veg,-,498,506,Aamrit
78,Mixed Mushroom & Creamcheese Dumpling,"Momos, Dimsum & Bao",389,Veg,-,476,499,Loaded Nachos
455,Wit Maga (250Ml),Craft Beer,199,-,-,485,498,Wit Maga (500Ml)
440,Banjara Murgh Tikka,From The Clay Oven,389,Non-Veg,-,477,492,Aamrit
66,Tandoori Chicken Wings,From The Clay Oven,369,Non-Veg,-,478,490,Aamrit
779,Huli Gun Ale Sampler ( 90Ml ),Craft Beer,60,-,-,473,489,Malgudi Ale Sampler ( 90Ml )
482,Rassela Cider  Sampler (90Ml),Craft Beer,60,-,-,465,477,Malgudi Ale Sampler ( 90Ml )
735,Butter Garlic Prawns,Small Plates,579,Non-Veg,-,455,467,Aamrit
777,Huli Gun Ale ( 500Ml ),Craft Beer,389,-,-,427,464,Peanut Masala
977,Tandoori Chicken Lollypops,From The Clay Oven,359,Non-Veg,-,450,462,Aamrit
619,Southern Fried Chicken,Small Plates,299,Non-Veg,-,444,456,Periperi French Fries
729,Pepper Fry Chicken,Small Plates,359,Non-Veg,Medium Spicy,448,455,Periperi French Fries
121,Angaar Murgh Tikka,From The Clay Oven,369,Non-Veg,-,437,452,Crispy Chilli Corn
74,Chicken Momo,"Momos, Dimsum & Bao",269,Non-Veg,-,439,451,Chicken Popcorn
420,Water Bottle 750Ml,Soft Beverages,129,Veg,-,415,445,Crispy Chilli Corn
459,Happy Weizen (250Ml),Craft Beer,199,-,-,423,435,Peanut Masala
476,Ale Is Well (500Ml),Craft Beer,349,-,-,392,424,Peanut Masala
9,Gun Powder French Fries,Bar Nibbles,229,Veg,-,411,422,Crispy Chilli Corn
531,Peach Iced Tea,Iced Tea,295,-,-,412,422,Aamrit
49,Chilli Prawns,Small Plates,479,Non-Veg,-,411,421,Aamrit
62,Ajwaini Fish Tikka,From The Clay Oven,459,Non-Veg,Medium Spicy,400,414,Crispy Chilli Corn
702,Malgudi Ale ( 250Ml ),,0,-,-,393,405,Peanut Masala
967,Mushroom Salt N Pepper,Small Plates,299,Veg,-,381,395,Crispy Chilli Corn
128,Chicken Dum Biriyani,Large Plates - South Indian,389,Non-Veg,Very Spicy,386,392,Aamrit
472,Nandi Nectar (500Ml),Craft Beer,329,-,-,362,391,Periperi French Fries
490,Rowdy Stout Sampler(90Ml),Craft Beer,60,-,-,377,389,Malgudi Ale Sampler ( 90Ml )
722,Pahadi Paneer Tikka,Small Plates,419,Veg,-,378,383,Aamrit
290,Tiramisu,Dessert,379,Non-Veg,-,373,379,Aamrit
61,Icb Paneer Tikka,From The Clay Oven,389,Veg,-,366,378,Crispy Chilli Corn
486,Red Raja Sampler (90Ml),Craft Beer,60,-,-,361,373,Ale Is Well Sampler (90Ml)
464,El Chamraj (500Ml),Craft Beer,299,-,-,358,371,Happy Weizen (500Ml)
116,Curry Leaf Chicken Tikka,From The Clay Oven,389,Non-Veg,Medium Spicy,363,370,Crispy Chilli Corn
529,Masala Mule,Mocktail,295,-,-,354,361,Aamrit
80,Charcoal Chicken Dumpling,,0,-,-,345,355,Aamrit
278,Diet Coke,Soft Beverages,129,-,-,343,351,Periperi French Fries
81,Chicken Gyoza,"Momos, Dimsum & Bao",349,Non-Veg,-,337,347,Aamrit
526,Melon Mingle,Mocktail,295,-,-,342,347,Aamrit
727,Mushroom Cheese Cigar,Small Plates,349,Veg,Very Spicy,335,345,Aamrit
528,Glow Up,Mocktail,295,-,-,332,340,Aamrit
514,Liit,(High Abv) Contains 100 Ml Alcohol,699,-,-,327,338,Periperi French Fries
84,Margherita Pizza,Pizza,429,Veg,-,322,338,Periperi French Fries
981,Paneer Tikka Pizza,Pizza,549,Veg,-,323,332,Aamrit
39,Pepper Mutton,Small Plates,639,Non-Veg,-,315,324,Aamrit
457,Wit Maga (Pitcher),Craft Beer,849,-,-,307,323,Peanut Masala
421,Ginger Ale,Soft Beverages,129,-,-,310,321,Loaded Nachos
471,Nandi Nectar (250Ml),Craft Beer,199,-,-,310,320,Malgudi Ale ( 250Ml )
46,Beer Batter Fish,Small Plates,379,Non-Veg,-,309,317,Aamrit
21,Sago Vada,Small Plates,219,Veg,-,296,317,Crispy Chilli Corn
101,Spaghetti Aglio E Olio,Pasta & Grills,359,Veg,-,301,309,Periperi French Fries
530,Lemon Iced Tea,Iced Tea,295,-,-,305,309,Aamrit
463,El Chamraj (250Ml),Craft Beer,199,-,-,299,305,Happy Weizen (250Ml)
100,Mac N Cheese,Pasta & Grills,419,Veg,-,298,302,Aamrit
968,Street Fried Chicken Kebab,Small Plates,329,Non-Veg,-,286,299,Periperi French Fries
47,Curry Leaf Prawns,Small Plates,499,-,-,283,292,Aamrit
72,Paneer Momo,"Momos, Dimsum & Bao",239,Veg,-,280,286,Aamrit
461,Happy Weizen (Pitcher),Craft Beer,829,-,-,271,285,Peanut Masala
965,Paprika Grilled Chicken Salad,Salads & Burger,349,Non-Veg,-,277,281,Aamrit
73,Vegetable Momo,"Momos, Dimsum & Bao",239,Veg,-,275,281,Loaded Nachos
480,Rassela Cider  (500Ml),Craft Beer,289,-,-,254,279,Rassela Cider  Sampler (90Ml)
1070,Chicken Yakitori,Sushi,549,Non-Veg,-,266,274,Crispy Chilli Corn
969,Bbq Chicken Wings,Small Plates,399,Non-Veg,-,268,274,Aamrit
79,Asparagus & Waterchestnut,"Momos, Dimsum & Bao",319,Veg,-,265,270,Loaded Nachos
730,Spicy Chicken Lolly Pops,Small Plates,439,Non-Veg,Very Spicy,263,269,Aamrit
982,Bbq Chicken Pizza,Pizza,579,Non-Veg,-,264,269,Aamrit
17,Haleem Samosa,Bar Nibbles,389,Non-Veg,-,261,265,Crispy Chilli Corn
504,Soma,Signature Cocktails,499,-,-,252,259,Loaded Nachos
425,Chilli Pork,Small Plates,449,Non-Veg,-,247,259,Aamrit
978,Tandoori Prawns,From The Clay Oven,519,Non-Veg,-,251,257,Aamrit
704,Malgudi Ale ( Pitcher ),,0,-,-,242,257,Peanut Masala
725,Street Style Fried Baby Corn,Small Plates,269,Veg,-,249,255,Aamrit
102,Penne Pomodoro,Pasta & Grills,369,Veg,-,247,255,Aamrit
103,Pesto Penne,Pasta & Grills,369,Veg,-,249,254,Loaded Nachos
1005,Burn Garlic Fried Rice -Veg,Pan Asian,299,Veg,-,247,250,Crispy Chilli Corn
732,Andhra Chilly Chicken,Small Plates,339,Non-Veg,Medium Spicy,240,248,Periperi French Fries
1056,California Roll,Sushi,0,Non-Veg,-,244,247,Shrimp Popcorn
11,Potato Wedges,Sharing Plates,219,Veg,-,238,246,Aamrit
976,Corn Seekh Kebab,From The Clay Oven,329,Veg,-,244,246,Aamrit
1068,Chicken Karrage,Sushi,499,Non-Veg,-,236,242,Shrimp Popcorn
778,Huli Gun Ale ( Pitcher ),Craft Beer,999,-,-,218,239,Peanut Masala
93,Chicken Tikka Pizza,Pizza,529,Non-Veg,-,229,237,Periperi French Fries
532,Strawberry Iced Tea,Iced Tea,295,-,-,229,233,Aamrit
433,Icb Chicken Butter Masala Served With Butter Garlic Naan,Large Plates - North Indian,489,Non-Veg,-,231,233,Aamrit
28,Sundal Hummus,Small Plates,199,Veg,-,228,233,Peanut Masala
479,Rassela Cider  (250Ml),Craft Beer,199,-,-,222,231,Rassela Cider  Sampler (90Ml)
288,Creme Brulee,Dessert,299,Non-Veg,-,225,230,Tres Leches
541,Paneer Butter Masala Served With Butter Naan,Large Plates - North Indian,469,Veg,-,221,224,Fresh Lime Soda
88,Four Cheese Pizza,Pizza,429,Veg,-,210,220,Aamrit
507,Mojito,Classic Cocktail,529,-,-,211,219,Periperi French Fries
734,Chettinad Tawa Seer Fish,Small Plates,519,Non-Veg,-,209,214,Aamrit
287,Basque Cheese Cake With Strawberry Coulie,Dessert,409,Non-Veg,-,208,212,Aamrit
963,Avocado & Orange Salad,Salads & Burger,349,Veg,-,205,211,Peanut Masala
508,Pina Colada,,0,-,-,203,208,Loaded Nachos
488,Rowdy Stout (500Ml),Craft Beer,329,-,-,193,207,Crispy Chilli Corn
35,Kheema Pav,Small Plates,499,Non-Veg,-,197,207,Loaded Nachos
776,Huli Gun Ale ( 250Ml ),Craft Beer,219,-,-,203,204,Malgudi Ale ( 250Ml )
475,Ale Is Well (250Ml),Craft Beer,199,-,-,197,203,Wit Maga (250Ml)
107,Garlic Bread,Sides & Add Ons,109,Veg,-,194,200,Periperi French Fries
71,Prawn Tempura,Sushi,699,Non-Veg,-,197,199,Aamrit
285,Sticky Date Pudding With Vanilla Ice Cream,Dessert,299,Non-Veg,-,198,198,Tres Leches
442,"Vegetable Thai Green Curry, Jasmine Rice",Pan Asian,519,Veg,-,192,197,Avocado Roll
123,Donne Lamb Biryani,Large Plates - South Indian,559,Non-Veg,-,188,191,Aamrit
1052,Tanuki Roll,Sushi,0,Veg,-,175,182,Periperi French Fries
499,Kanak,Classic Cocktail,699,-,-,177,182,Loaded Nachos
89,Pesto Chicken Pizza,Pizza,559,Non-Veg,-,178,180,Loaded Nachos
428,Can Sprite,Soft Beverages,119,-,-,176,179,Crispy Chilli Corn
104,Spaghetti In Mushroom Cream Sauce,Pasta & Grills,459,Veg,-,177,178,Loaded Nachos
995,Dal Kichadi,Large Plates - North Indian,319,Veg,-,169,175,Aamrit
962,Green Salad,Salads & Burger,199,Veg,-,160,175,Crispy Chilli Corn
961,Som Tum Salad,Pan Asian,249,Veg,-,167,170,Avocado Roll
1058,Philadelphia Roll,Sushi,0,Non-Veg,-,161,169,Chicken Popcorn
1000,Curd Rice,Large Plates - South Indian,299,Veg,-,164,168,Crispy Chilli Corn
1007,Chilly Garlic Fried Rice Veg,Pan Asian,299,Veg,-,165,166,Periperi French Fries
733,Gongura Chicken,Small Plates,369,Non-Veg,-,162,165,Chilli Coriander Fish
41,Kerala Beef Roast,Small Plates,529,Non-Veg,-,159,164,Aamrit
48,Schezwan Prawns,Small Plates,499,Non-Veg,-,161,164,Aamrit
856,Pahadi Soy Chops,From The Clay Oven,349,Veg,-,156,161,Aamrit
731,Chettinad Chicken Fry,Small Plates,369,Non-Veg,Medium Spicy,155,158,Aamrit
736,Devils Delights,Dessert,229,Veg,-,149,152,Aamrit
1139,Rcb Fireball Brine,Ipl Cocktails,499,-,-,149,151,Loaded Nachos
870,Huli Gun Ale ( 1000Ml ),Craft Beer,699,-,-,146,151,Periperi French Fries
56,Crispy Vegetable Kebab,From The Clay Oven,349,Veg,-,144,150,Aamrit
142,Neer Dosa,"Lentils, Staples & Breads",69,Veg,-,141,147,Mangalorean Chicken Ghee Roast
1009,Schezwan Fried Rice Veg,Pan Asian,329,Veg,-,145,146,Crispy Chilli Corn
983,Peri Peri Chicken Pizza,Pizza,579,Non-Veg,-,143,145,Chicken Popcorn
1135,Jersey No 18,Ipl Cocktails,499,-,-,145,145,Loaded Nachos
966,Cauliflower 65,Small Plates,269,Veg,-,143,144,Crispy Chilli Corn
1138,Kookaburra,Ipl Cocktails,499,-,-,142,144,Peanut Masala
286,Caramel Custard With Popcorn,Dessert,289,Non-Veg,-,144,144,Tres Leches
96,Caesar Salad,Salads & Burger,289,Veg,-,127,144,Peanut Masala
1054,Shiitake Roll,Sushi,0,Veg,-,141,142,Loaded Nachos
127,Khao Suey Served With Toppings,Pan Asian,479,Veg,-,140,141,Aamrit
98,Fried Chicken Burger,Salads & Burger,389,Non-Veg,-,137,141,Aamrit
137,Jeera Cashew Pulao,"Lentils, Staples & Breads",319,Veg,-,138,141,Aamrit
839,Mushrooms & Cream Cheese Tart,Small Plates,329,Veg,-,139,141,Aamrit
147,Butter Naan,"Lentils, Staples & Breads",129,Veg,-,137,141,Paneer Butter Masala Served With Butter Naan
513,Moscow Mule,Classic Cocktail,529,-,-,133,136,Loaded Nachos
510,Margarita,Classic Cocktail,559,-,-,133,135,Loaded Nachos
105,Grilled Chicken Breast,Pasta & Grills,499,Non-Veg,-,132,135,Aamrit
618,Vanilla Ice Cream,Dessert,119,-,-,132,134,Aamrit
896,Virgin Toddy,Mocktail,295,-,-,132,134,Aamrit
846,Chicken Schnitzel,Pasta & Grills,469,Non-Veg,-,126,130,Aamrit
487,Rowdy Stout (250Ml),Craft Beer,199,-,-,125,129,Malgudi Ale ( 250Ml )
477,Ale Is Well (Pitcher),Craft Beer,999,-,-,123,128,Peanut Masala
484,Red Raja (500Ml),Craft Beer,389,-,Medium Spicy,126,128,Malgudi Ale ( 500Ml )
50,Bacon Wrapped Prawns,Small Plates,549,Non-Veg,-,124,127,Peanut Masala
511,Whiskey Sour,Classic Cocktail,599,-,-,122,125,Periperi French Fries
86,Assorted Funghi Pizza,Pizza,619,Veg,-,124,125,Loaded Nachos
975,Golden Fried Prawns,Small Plates,429,Non-Veg,-,119,124,Aamrit
432,Kadai Subz Served With Butter Naan,Large Plates - North Indian,349,Veg,-,123,124,Crispy Chilli Corn
465,El Chamraj (Pitcher),Craft Beer,849,-,-,114,123,Peanut Masala
970,Chipotle Chicken Wings,Small Plates,419,Non-Veg,-,121,123,Periperi French Fries
430,Tadka Palak Served With Missi Roti,Large Plates - North Indian,339,Veg,-,118,120,Aamrit
25,Buddha's Delight,Small Plates,359,Veg,-,112,117,Peanut Masala
435,Home Style Chicken Curry Served With Kal Dosa,Large Plates - North Indian,499,Non-Veg,-,112,116,Aamrit
280,Tonic Water,Soft Beverages,129,-,-,109,115,Peanut Masala
438,Kozhi Chettinad Served With Malabar Paratha,Large Plates - South Indian,489,Non-Veg,-,111,114,Spicy Chicken Skewer
1069,Pork Yakitori,Sushi,649,Non-Veg,-,113,114,Shrimp Popcorn
974,Lamb Keema Urundai,Small Plates,429,Non-Veg,-,114,114,Aamrit
281,Red Bull Energy Drink,Soft Beverages,229,-,-,107,114,Periperi French Fries
1006,Burn Garlic Noodles Veg,Pan Asian,329,Veg,-,110,111,Periperi French Fries
989,Spiced Chicken Burger,Salads & Burger,379,Non-Veg,-,106,110,Chicken Popcorn
997,Mutton Rogan Josh With Garlic Naan,Large Plates - North Indian,599,Non-Veg,-,106,109,Aamrit
64,Kalmi Kebab,From The Clay Oven,389,Non-Veg,-,104,108,Crispy Chilli Corn
60,Smoked Beetroot Kebab,From The Clay Oven,369,Veg,-,106,107,Loaded Nachos
714,Watermelon Jiuce,Soft Beverages,169,-,-,106,107,Crispy Chilli Corn
87,Pizza Napoletana,Pizza,349,Veg,-,103,107,Loaded Nachos
1008,Chilly Garlic Noodles Veg,Pan Asian,329,Veg,-,106,106,Loaded Nachos
55,Pandi Curry With Sannas,Small Plates,529,Non-Veg,-,99,106,Kerala Beef Roast
615,60% Single Origin Chocolate Ice Cream,Dessert,169,Veg,-,103,104,Aamrit
512,Old Fashioned,Classic Cocktail,599,-,-,102,103,Peanut Masala
1065,Tofu Dengaku,Sushi,399,Veg,-,97,101,Aamrit
506,Bloody Mary,Classic Cocktail,529,-,-,98,99,Loaded Nachos
483,Red Raja (250Ml),Craft Beer,219,-,-,97,98,Malgudi Ale ( 250Ml )
617,Fresh Strawberry Ice Cream,Dessert,149,Veg,-,97,97,Aamrit
990,Punjabi Mushroom Masala,Large Plates - North Indian,349,Veg,-,95,96,Aamrit
277,Canned Juice,Soft Beverages,99,-,-,93,96,French Fries Salted
424,Bbq Pork Ribs,Small Plates,589,Non-Veg,-,96,96,Aamrit
473,Nandi Nectar (Pitcher),Craft Beer,959,-,-,92,95,Peanut Masala
275,Coke,,0,-,-,93,94,Periperi French Fries
536,Oreo Shake,,0,-,-,91,92,Aamrit
99,Icb Beef Burger,,0,-,-,83,92,Aamrit
991,Pindi Chole Kulcha,Large Plates - North Indian,349,Veg,-,91,92,Aamrit
867,Ale Is Well (1000Ml),Craft Beer,699,-,-,89,91,Periperi French Fries
110,Sauteed Vegetable,Sides & Add Ons,99,Veg,-,85,90,Peanut Masala
443,"Chicken Thai Red Curry, Jasmine Rice",Pan Asian,569,Non-Veg,-,88,90,Crispy Chilli Corn
1140,Bengaluru Bloom,Ipl Cocktails,499,-,-,90,90,Loaded Nachos
1010,Schezwan Noodles Veg,Pan Asian,349,Veg,-,90,90,Aamrit
1142,King Kohli Kick,,0,-,-,88,88,Spicy Chicken Skewer
544,Roti Plain,"Lentils, Staples & Breads",69,Veg,-,86,87,Fresh Lime Soda
481,Rassela Cider  (Pitcher),Craft Beer,829,-,-,81,87,Rassela Cider  Sampler (90Ml)
538,Red Wine Sangria,Wine C Ocktails,529,-,-,85,86,Peanut Masala
500,Bombay Fizz,Signature Cocktails,699,-,-,86,86,Crispy Chilli Corn
852,Weissbier Tiramisu,Dessert,429,Egg,-,84,85,Tres Leches
